step,reward,eval_type,seed
250112,0.0,pi,2
250112,1.2,mppi,2
500224,0.3,pi,2
500224,0.0,mppi,2
750080,12.0,pi,2
750080,55.0,mppi,2
1000192,0.0,pi,2
1000192,3.1,mppi,2
1250048,1.8,pi,2
1250048,2.2,mppi,2
1500160,2.2,pi,2
1500160,7.2,mppi,2
1750016,1.6,pi,2
1750016,0.0,mppi,2
2000128,0.0,pi,2
2000128,0.0,mppi,2
2250240,6.2,pi,2
2250240,4.3,mppi,2
2500096,0.0,pi,2
2500096,0.0,mppi,2
2750208,5.0,pi,2
2750208,8.7,mppi,2
3000064,0.0,pi,2
3000064,4.6,mppi,2
3250176,6.5,pi,2
3250176,1.9,mppi,2
3500032,8.2,pi,2
3500032,14.7,mppi,2
3750144,2.2,pi,2
3750144,0.0,mppi,2
4000000,11.4,pi,2
4000000,10.8,mppi,2
4250112,6.0,pi,2
4250112,4.8,mppi,2
4500224,11.3,pi,2
4500224,16.4,mppi,2
4750080,10.0,pi,2
4750080,3.8,mppi,2
5000192,10.0,pi,2
5000192,10.5,mppi,2
5250048,10.1,pi,2
5250048,3.8,mppi,2
5500160,4.9,pi,2
5500160,15.6,mppi,2
