task,seed,step,reward
HopperStand,1,1007616,42.4298
HopperStand,1,2015232,222.8231
HopperStand,1,3022848,400.4501
HopperStand,1,4030464,449.9193
HopperStand,1,5038080,506.2457
HopperStand,1,6045696,563.3420
HopperStand,1,7053312,552.3350
HopperStand,1,8060928,574.1951
HopperStand,1,9068544,652.9963
HopperStand,1,10002432,644.7179
HopperStand,1,1007616,148.0051
HopperStand,1,2015232,332.1793
HopperStand,1,3022848,448.7746
HopperStand,1,4030464,440.3616
HopperStand,1,5038080,438.4235
HopperStand,1,6045696,405.7178
HopperStand,1,7053312,437.2136
HopperStand,1,8060928,330.4432
HopperStand,1,9068544,433.5224
HopperStand,1,10002432,261.8761
