task,seed,step,reward
BallInCup,1,1966080,0.0000
BallInCup,1,2949120,0.0000
BallInCup,1,3932160,0.0000
BallInCup,1,4915200,0.0649
BallInCup,1,5898240,0.9336
BallInCup,1,6881280,0.0000
BallInCup,1,7864320,0.0000
BallInCup,1,8847360,0.0000
BallInCup,1,9830400,0.3633
BallInCup,1,10813440,0.6860
BallInCup,1,11796480,8.5332
BallInCup,1,12779520,36.2749
BallInCup,1,13762560,52.9868
BallInCup,1,14745600,87.6958
BallInCup,1,15728640,121.9580
BallInCup,1,16711680,188.7192
BallInCup,1,17694720,235.4990
BallInCup,1,18677760,311.3906
BallInCup,1,19660800,364.2363
BallInCup,1,20643840,433.3706
BallInCup,1,21626880,456.7568
BallInCup,1,22609920,509.7480
BallInCup,1,23592960,553.9126
BallInCup,1,24576000,608.3481
BallInCup,1,25559040,658.1587
BallInCup,1,26542080,712.1616
BallInCup,1,27525120,734.1147
BallInCup,1,28508160,778.7271
BallInCup,1,29491200,822.7700
BallInCup,1,30474240,852.2690
BallInCup,1,31457280,876.5005
BallInCup,1,32440320,873.7549
BallInCup,1,33423360,892.5381
BallInCup,1,34406400,891.4531
BallInCup,1,35389440,908.1763
BallInCup,1,36372480,904.1851
BallInCup,1,37355520,917.2651
BallInCup,1,38338560,915.7969
BallInCup,1,39321600,926.1982
BallInCup,1,40304640,907.2720
BallInCup,1,41287680,927.0405
BallInCup,1,42270720,753.9946
BallInCup,1,43253760,932.8916
BallInCup,1,44236800,933.1123
BallInCup,1,45219840,936.6895
BallInCup,1,46202880,935.2188
BallInCup,1,47185920,937.6626
BallInCup,1,48168960,939.6196
BallInCup,1,49152000,938.7935
BallInCup,1,50135040,940.3506
BallInCup,1,51118080,939.9980
BallInCup,1,52101120,942.9668
BallInCup,1,53084160,941.8184
BallInCup,1,54067200,944.0215
BallInCup,1,55050240,938.8403
BallInCup,1,56033280,942.6182
BallInCup,1,57016320,940.0908
BallInCup,1,57999360,943.4990
BallInCup,1,58982400,939.6606
BallInCup,1,59965440,943.1001
BallInCup,1,60948480,941.3228
BallInCup,1,61931520,943.7725
BallInCup,1,62914560,929.0342
BallInCup,1,63897600,941.4473
BallInCup,1,64880640,313.2573
BallInCup,1,65863680,945.6953
BallInCup,1,66846720,945.1689
BallInCup,1,67829760,945.6421
BallInCup,1,68812800,937.9932
BallInCup,1,69795840,944.2876
BallInCup,1,70778880,909.5186
BallInCup,1,71761920,943.5234
BallInCup,1,72744960,948.2666
BallInCup,1,73728000,809.7852
BallInCup,1,74711040,935.7314
BallInCup,2,1966080,0.0000
BallInCup,2,2949120,0.0000
BallInCup,2,3932160,0.0000
BallInCup,2,4915200,0.0000
BallInCup,2,5898240,0.0000
BallInCup,2,6881280,0.0000
BallInCup,2,7864320,0.0000
BallInCup,2,8847360,0.0000
BallInCup,2,9830400,0.0000
BallInCup,2,10813440,0.0000
BallInCup,2,11796480,0.0000
BallInCup,2,12779520,0.0000
BallInCup,2,13762560,0.0000
BallInCup,2,14745600,0.0000
BallInCup,2,15728640,0.0000
BallInCup,2,16711680,0.0000
BallInCup,2,17694720,0.0000
BallInCup,2,18677760,0.0000
BallInCup,2,19660800,0.0000
BallInCup,2,20643840,0.0000
BallInCup,2,21626880,0.0000
BallInCup,2,22609920,0.0000
BallInCup,2,23592960,0.0000
BallInCup,2,24576000,0.0000
BallInCup,2,25559040,0.0000
BallInCup,2,26542080,0.0000
BallInCup,2,27525120,0.0000
BallInCup,2,28508160,0.0000
BallInCup,2,29491200,0.0000
BallInCup,2,30474240,0.0000
BallInCup,2,31457280,0.0000
BallInCup,2,32440320,0.0000
BallInCup,2,33423360,0.0000
BallInCup,2,34406400,0.0000
BallInCup,2,35389440,0.0000
BallInCup,2,36372480,0.0000
BallInCup,2,37355520,0.0000
BallInCup,2,38338560,0.0000
BallInCup,2,39321600,0.0000
BallInCup,2,40304640,0.0000
BallInCup,2,41287680,0.0000
BallInCup,2,42270720,0.0000
BallInCup,2,43253760,0.0000
BallInCup,2,44236800,0.0000
BallInCup,2,45219840,0.0000
BallInCup,2,46202880,0.0000
BallInCup,2,47185920,0.0000
BallInCup,2,48168960,0.0000
BallInCup,2,49152000,0.0000
BallInCup,2,50135040,0.0000
BallInCup,2,51118080,0.0000
BallInCup,2,52101120,0.0000
BallInCup,2,53084160,0.0000
BallInCup,2,54067200,0.0000
BallInCup,2,55050240,0.0000
BallInCup,2,56033280,0.0000
BallInCup,2,57016320,0.0000
BallInCup,2,57999360,0.0000
BallInCup,2,58982400,0.0000
BallInCup,2,59965440,0.0000
BallInCup,2,60948480,0.0000
BallInCup,2,61931520,0.0000
BallInCup,2,62914560,0.0000
BallInCup,2,63897600,0.0000
BallInCup,2,64880640,0.0000
BallInCup,2,65863680,0.0000
BallInCup,2,66846720,0.0000
BallInCup,2,67829760,0.0000
BallInCup,2,68812800,0.0000
BallInCup,2,69795840,0.0000
BallInCup,2,70778880,0.0000
BallInCup,2,71761920,0.0000
BallInCup,2,72744960,0.0000
BallInCup,2,73728000,0.0000
BallInCup,2,74711040,0.0000
BallInCup,3,1966080,0.0000
BallInCup,3,2949120,0.0000
BallInCup,3,3932160,0.0000
BallInCup,3,4915200,0.0000
BallInCup,3,5898240,0.0000
BallInCup,3,6881280,0.0000
BallInCup,3,7864320,0.5410
BallInCup,3,8847360,18.8120
BallInCup,3,9830400,15.2007
BallInCup,3,10813440,50.9150
BallInCup,3,11796480,86.3652
BallInCup,3,12779520,127.5649
BallInCup,3,13762560,175.4009
BallInCup,3,14745600,241.6772
BallInCup,3,15728640,309.7163
BallInCup,3,16711680,394.8594
BallInCup,3,17694720,419.3760
BallInCup,3,18677760,485.0835
BallInCup,3,19660800,506.0981
BallInCup,3,20643840,555.7021
BallInCup,3,21626880,585.6548
BallInCup,3,22609920,640.3745
BallInCup,3,23592960,653.8555
BallInCup,3,24576000,693.9536
BallInCup,3,25559040,721.4082
BallInCup,3,26542080,755.5215
BallInCup,3,27525120,772.8687
BallInCup,3,28508160,799.0835
BallInCup,3,29491200,823.3296
BallInCup,3,30474240,828.2026
BallInCup,3,31457280,849.5117
BallInCup,3,32440320,851.5757
BallInCup,3,33423360,873.8120
BallInCup,3,34406400,872.1909
BallInCup,3,35389440,887.8384
BallInCup,3,36372480,889.3633
BallInCup,3,37355520,902.4634
BallInCup,3,38338560,874.7554
BallInCup,3,39321600,894.5317
BallInCup,3,40304640,900.5830
BallInCup,3,41287680,907.4526
BallInCup,3,42270720,906.9175
BallInCup,3,43253760,916.2178
BallInCup,3,44236800,916.9756
BallInCup,3,45219840,925.6509
BallInCup,3,46202880,927.0869
BallInCup,3,47185920,929.7876
BallInCup,3,48168960,932.0625
BallInCup,3,49152000,931.5776
BallInCup,3,50135040,931.9668
BallInCup,3,51118080,928.1509
BallInCup,3,52101120,932.2554
BallInCup,3,53084160,929.9771
BallInCup,3,54067200,933.8262
BallInCup,3,55050240,927.3921
BallInCup,3,56033280,926.6807
BallInCup,3,57016320,899.6108
BallInCup,3,57999360,928.0703
BallInCup,3,58982400,901.0601
