task,seed,step,reward
FingerSpin,1,1966080,4.3584
FingerSpin,1,2949120,18.9438
FingerSpin,1,3932160,32.4966
FingerSpin,1,4915200,48.6724
FingerSpin,1,5898240,73.1162
FingerSpin,1,6881280,110.1582
FingerSpin,1,7864320,146.8765
FingerSpin,1,8847360,180.4443
FingerSpin,1,9830400,207.9888
FingerSpin,1,10813440,230.8018
FingerSpin,1,11796480,247.9927
FingerSpin,1,12779520,264.0410
FingerSpin,1,13762560,276.5483
FingerSpin,1,14745600,289.4380
FingerSpin,1,15728640,300.0820
FingerSpin,1,16711680,309.2905
FingerSpin,1,17694720,317.1646
FingerSpin,1,18677760,326.0601
FingerSpin,1,19660800,338.9448
FingerSpin,1,20643840,352.2686
FingerSpin,1,21626880,367.7104
FingerSpin,1,22609920,381.3599
FingerSpin,1,23592960,399.2017
FingerSpin,1,24576000,408.6909
FingerSpin,1,25559040,419.9854
FingerSpin,1,26542080,425.3306
FingerSpin,1,27525120,437.8716
FingerSpin,1,28508160,437.9009
FingerSpin,1,29491200,449.3535
FingerSpin,1,30474240,449.0742
FingerSpin,1,31457280,457.2598
FingerSpin,1,32440320,465.5566
FingerSpin,1,33423360,466.2612
FingerSpin,1,34406400,469.8428
FingerSpin,1,35389440,473.0493
FingerSpin,1,36372480,480.9937
FingerSpin,1,37355520,474.7217
FingerSpin,1,38338560,479.3379
FingerSpin,1,39321600,485.4448
FingerSpin,1,40304640,485.9185
FingerSpin,1,41287680,493.1445
FingerSpin,1,42270720,496.0659
FingerSpin,1,43253760,491.3027
FingerSpin,1,44236800,503.4595
FingerSpin,1,45219840,498.0435
FingerSpin,1,46202880,503.1870
FingerSpin,1,47185920,501.5767
FingerSpin,1,48168960,504.3340
FingerSpin,1,49152000,503.3613
FingerSpin,1,50135040,513.2524
FingerSpin,1,51118080,510.6294
FingerSpin,1,52101120,512.9541
FingerSpin,1,53084160,499.0039
FingerSpin,1,54067200,513.9897
FingerSpin,1,55050240,512.8550
FingerSpin,1,56033280,509.7808
FingerSpin,1,57016320,514.6738
FingerSpin,1,57999360,508.7778
FingerSpin,1,58982400,510.1353
FingerSpin,1,59965440,518.2500
FingerSpin,1,60948480,515.3047
FingerSpin,1,61931520,516.0405
FingerSpin,1,62914560,422.2632
FingerSpin,1,63897600,448.4614
FingerSpin,1,64880640,468.7671
FingerSpin,1,65863680,481.8730
FingerSpin,1,66846720,500.8003
FingerSpin,1,67829760,506.9551
FingerSpin,1,68812800,508.8291
FingerSpin,1,69795840,506.1294
FingerSpin,1,70778880,527.6650
FingerSpin,1,71761920,527.4336
FingerSpin,1,72744960,522.1504
FingerSpin,1,73728000,527.9976
FingerSpin,1,74711040,536.3931
FingerSpin,2,1966080,0.1426
FingerSpin,2,2949120,0.1865
FingerSpin,2,3932160,0.4165
FingerSpin,2,4915200,0.5288
FingerSpin,2,5898240,0.9150
FingerSpin,2,6881280,1.4912
FingerSpin,2,7864320,2.4863
FingerSpin,2,8847360,3.2705
FingerSpin,2,9830400,6.6699
FingerSpin,2,10813440,12.8262
FingerSpin,2,11796480,21.8027
FingerSpin,2,12779520,46.6650
FingerSpin,2,13762560,85.2275
FingerSpin,2,14745600,103.8115
FingerSpin,2,15728640,105.1958
FingerSpin,2,16711680,121.2759
FingerSpin,2,17694720,132.5269
FingerSpin,2,18677760,157.1128
FingerSpin,2,19660800,180.7876
FingerSpin,2,20643840,204.7085
FingerSpin,2,21626880,223.2573
FingerSpin,2,22609920,248.7856
FingerSpin,2,23592960,283.7593
FingerSpin,2,24576000,325.1401
FingerSpin,2,25559040,374.2256
FingerSpin,2,26542080,427.1133
FingerSpin,2,27525120,482.4019
FingerSpin,2,28508160,509.4639
FingerSpin,2,29491200,543.3154
FingerSpin,2,30474240,595.2368
FingerSpin,2,31457280,602.7837
FingerSpin,2,32440320,619.1948
FingerSpin,2,33423360,637.8057
FingerSpin,2,34406400,639.6670
FingerSpin,2,35389440,652.2734
FingerSpin,2,36372480,660.3418
FingerSpin,2,37355520,672.3271
FingerSpin,2,38338560,683.5728
FingerSpin,2,39321600,705.8726
FingerSpin,2,40304640,732.9014
FingerSpin,2,41287680,753.8740
FingerSpin,2,42270720,776.6196
FingerSpin,2,43253760,798.1782
FingerSpin,2,44236800,804.5117
FingerSpin,2,45219840,816.9253
FingerSpin,2,46202880,826.1577
FingerSpin,2,47185920,829.5439
FingerSpin,2,48168960,840.3833
FingerSpin,2,49152000,838.1733
FingerSpin,2,50135040,847.6104
FingerSpin,2,51118080,837.6865
FingerSpin,2,52101120,841.3560
FingerSpin,2,53084160,851.2012
FingerSpin,2,54067200,863.3115
FingerSpin,2,55050240,863.4604
FingerSpin,2,56033280,871.8159
FingerSpin,2,57016320,874.0947
FingerSpin,2,57999360,880.5537
FingerSpin,2,58982400,880.6797
FingerSpin,2,59965440,881.5889
FingerSpin,2,60948480,881.9292
FingerSpin,2,61931520,889.4995
FingerSpin,2,62914560,888.4443
FingerSpin,2,63897600,894.8354
FingerSpin,2,64880640,899.6533
FingerSpin,2,65863680,906.9497
FingerSpin,2,66846720,906.7651
FingerSpin,2,67829760,909.9360
FingerSpin,2,68812800,910.9175
FingerSpin,2,69795840,911.7153
FingerSpin,2,70778880,910.5000
FingerSpin,2,71761920,912.6479
FingerSpin,2,72744960,913.1812
FingerSpin,2,73728000,908.6289
FingerSpin,2,74711040,910.9219
FingerSpin,3,1966080,1.3047
FingerSpin,3,2949120,1.4521
FingerSpin,3,3932160,0.8315
FingerSpin,3,4915200,1.2773
FingerSpin,3,5898240,4.3398
FingerSpin,3,6881280,14.4995
FingerSpin,3,7864320,50.4102
FingerSpin,3,8847360,87.3022
FingerSpin,3,9830400,118.7568
FingerSpin,3,10813440,159.2725
FingerSpin,3,11796480,199.5322
FingerSpin,3,12779520,234.9038
FingerSpin,3,13762560,264.7500
FingerSpin,3,14745600,287.8774
FingerSpin,3,15728640,304.7354
FingerSpin,3,16711680,317.6211
FingerSpin,3,17694720,327.8359
FingerSpin,3,18677760,336.8008
FingerSpin,3,19660800,343.0332
FingerSpin,3,20643840,349.0864
FingerSpin,3,21626880,353.6362
FingerSpin,3,22609920,358.3652
FingerSpin,3,23592960,363.0718
FingerSpin,3,24576000,368.0840
FingerSpin,3,25559040,371.9531
FingerSpin,3,26542080,375.8735
FingerSpin,3,27525120,380.7446
FingerSpin,3,28508160,383.3174
FingerSpin,3,29491200,390.7534
FingerSpin,3,30474240,395.1045
FingerSpin,3,31457280,397.7847
FingerSpin,3,32440320,397.6758
FingerSpin,3,33423360,399.1138
FingerSpin,3,34406400,396.4219
FingerSpin,3,35389440,398.5605
FingerSpin,3,36372480,394.6133
FingerSpin,3,37355520,395.6909
FingerSpin,3,38338560,396.7148
FingerSpin,3,39321600,397.8599
FingerSpin,3,40304640,398.1943
FingerSpin,3,41287680,398.8052
FingerSpin,3,42270720,398.9297
FingerSpin,3,43253760,398.6895
FingerSpin,3,44236800,399.1558
FingerSpin,3,45219840,399.7456
FingerSpin,3,46202880,399.3955
FingerSpin,3,47185920,399.1309
FingerSpin,3,48168960,399.8594
FingerSpin,3,49152000,399.2700
FingerSpin,3,50135040,399.3623
