task,seed,step,reward
FishSwim,1,1966080,82.4670
FishSwim,1,2949120,93.1472
FishSwim,1,3932160,99.9258
FishSwim,1,4915200,102.7272
FishSwim,1,5898240,109.5348
FishSwim,1,6881280,115.1191
FishSwim,1,7864320,117.3183
FishSwim,1,8847360,117.6997
FishSwim,1,9830400,120.8640
FishSwim,1,10813440,127.0011
FishSwim,1,11796480,137.5648
FishSwim,1,12779520,155.0616
FishSwim,1,13762560,185.8252
FishSwim,1,14745600,222.1786
FishSwim,1,15728640,256.1648
FishSwim,1,16711680,275.7948
FishSwim,1,17694720,296.7303
FishSwim,1,18677760,313.9326
FishSwim,1,19660800,326.4033
FishSwim,1,20643840,347.5042
FishSwim,1,21626880,345.2317
FishSwim,1,22609920,356.4672
FishSwim,1,23592960,371.9055
FishSwim,1,24576000,381.4744
FishSwim,1,25559040,387.2504
FishSwim,1,26542080,398.8724
FishSwim,1,27525120,407.3827
FishSwim,1,28508160,427.0319
FishSwim,1,29491200,430.1754
FishSwim,1,30474240,423.3143
FishSwim,1,31457280,446.8052
FishSwim,1,32440320,462.6797
FishSwim,1,33423360,473.4656
FishSwim,1,34406400,483.3487
FishSwim,1,35389440,485.7012
FishSwim,1,36372480,500.4393
FishSwim,1,37355520,499.7365
FishSwim,1,38338560,511.6650
FishSwim,1,39321600,516.8211
FishSwim,1,40304640,524.7916
FishSwim,1,41287680,535.1652
FishSwim,1,42270720,540.3254
FishSwim,1,43253760,544.9897
FishSwim,1,44236800,553.5972
FishSwim,1,45219840,554.9667
FishSwim,1,46202880,562.7791
FishSwim,1,47185920,562.3669
FishSwim,1,48168960,570.6300
FishSwim,1,49152000,567.4179
FishSwim,1,50135040,561.0433
FishSwim,1,51118080,570.0507
FishSwim,1,52101120,563.6791
FishSwim,1,53084160,561.4506
FishSwim,1,54067200,575.6447
FishSwim,1,55050240,575.4597
FishSwim,1,56033280,573.1558
FishSwim,1,57016320,583.4990
FishSwim,1,57999360,589.3446
FishSwim,1,58982400,587.5676
FishSwim,1,59965440,596.1133
FishSwim,1,60948480,589.5852
FishSwim,1,61931520,592.2788
FishSwim,1,62914560,589.3439
FishSwim,1,63897600,588.1807
FishSwim,1,64880640,591.6973
FishSwim,1,65863680,593.8136
FishSwim,1,66846720,596.2227
FishSwim,1,67829760,590.5977
FishSwim,1,68812800,597.2278
FishSwim,1,69795840,599.3806
FishSwim,1,70778880,598.4843
FishSwim,1,71761920,602.9166
