task,seed,step,reward
CartpoleSwingupSparse,2,42270720,26.2241
CartpoleSwingupSparse,2,43253760,28.5605
CartpoleSwingupSparse,2,44236800,29.5566
CartpoleSwingupSparse,2,45219840,31.2402
CartpoleSwingupSparse,2,46202880,32.0649
CartpoleSwingupSparse,2,47185920,33.4829
CartpoleSwingupSparse,2,48168960,36.6230
CartpoleSwingupSparse,2,49152000,40.3633
CartpoleSwingupSparse,2,50135040,39.0562
CartpoleSwingupSparse,2,51118080,51.6860
CartpoleSwingupSparse,2,52101120,40.0947
CartpoleSwingupSparse,2,53084160,54.6196
CartpoleSwingupSparse,2,54067200,64.7290
CartpoleSwingupSparse,2,55050240,72.1509
CartpoleSwingupSparse,2,56033280,86.2568
CartpoleSwingupSparse,2,57016320,99.1230
CartpoleSwingupSparse,2,57999360,154.4814
CartpoleSwingupSparse,2,58982400,182.1694
CartpoleSwingupSparse,2,59965440,246.2314
CartpoleSwingupSparse,2,60948480,295.3735
CartpoleSwingupSparse,2,61931520,388.1304
CartpoleSwingupSparse,2,62914560,450.7432
CartpoleSwingupSparse,2,63897600,463.1367
CartpoleSwingupSparse,2,64880640,487.3643
CartpoleSwingupSparse,2,65863680,375.7480
CartpoleSwingupSparse,2,66846720,552.2231
CartpoleSwingupSparse,2,67829760,595.9238
CartpoleSwingupSparse,2,68812800,640.9546
CartpoleSwingupSparse,2,69795840,532.1851
CartpoleSwingupSparse,2,70778880,623.9331
CartpoleSwingupSparse,2,71761920,638.4199
CartpoleSwingupSparse,2,72744960,572.8745
CartpoleSwingupSparse,2,73728000,13.7559
CartpoleSwingupSparse,2,74711040,638.1709
CartpoleSwingupSparse,3,1966080,0.0000
CartpoleSwingupSparse,3,2949120,0.0000
CartpoleSwingupSparse,3,3932160,0.0000
CartpoleSwingupSparse,3,4915200,0.0000
CartpoleSwingupSparse,3,5898240,0.0000
CartpoleSwingupSparse,3,6881280,0.0000
CartpoleSwingupSparse,3,7864320,0.0000
CartpoleSwingupSparse,3,8847360,0.0000
CartpoleSwingupSparse,3,9830400,0.0000
CartpoleSwingupSparse,3,10813440,0.0000
CartpoleSwingupSparse,3,11796480,0.0000
CartpoleSwingupSparse,3,12779520,0.0000
CartpoleSwingupSparse,3,13762560,0.0000
CartpoleSwingupSparse,3,14745600,0.0000
CartpoleSwingupSparse,3,15728640,0.0000
CartpoleSwingupSparse,3,16711680,0.0000
CartpoleSwingupSparse,3,17694720,0.0000
CartpoleSwingupSparse,3,18677760,0.0000
CartpoleSwingupSparse,3,19660800,0.0000
CartpoleSwingupSparse,3,20643840,0.0000
CartpoleSwingupSparse,3,21626880,0.0000
CartpoleSwingupSparse,3,22609920,0.0000
CartpoleSwingupSparse,3,23592960,0.0000
CartpoleSwingupSparse,3,24576000,0.0000
CartpoleSwingupSparse,3,25559040,0.0000
CartpoleSwingupSparse,3,26542080,0.0000
CartpoleSwingupSparse,3,27525120,0.0000
CartpoleSwingupSparse,3,28508160,0.0000
CartpoleSwingupSparse,3,29491200,0.0000
CartpoleSwingupSparse,3,30474240,0.0000
CartpoleSwingupSparse,3,31457280,0.0000
CartpoleSwingupSparse,3,32440320,0.0000
CartpoleSwingupSparse,3,33423360,0.0000
CartpoleSwingupSparse,3,34406400,0.0000
CartpoleSwingupSparse,3,35389440,0.0000
CartpoleSwingupSparse,3,36372480,0.0000
CartpoleSwingupSparse,3,37355520,0.0000
CartpoleSwingupSparse,3,38338560,0.0000
CartpoleSwingupSparse,3,39321600,0.0000
CartpoleSwingupSparse,3,40304640,0.0000
CartpoleSwingupSparse,3,41287680,0.0000
CartpoleSwingupSparse,3,42270720,0.0000
CartpoleSwingupSparse,3,43253760,0.0000
CartpoleSwingupSparse,3,44236800,0.0000
CartpoleSwingupSparse,3,45219840,0.0000
CartpoleSwingupSparse,3,46202880,0.0000
CartpoleSwingupSparse,3,47185920,0.0000
CartpoleSwingupSparse,3,48168960,0.0000
CartpoleSwingupSparse,3,49152000,0.0000
CartpoleSwingupSparse,3,50135040,0.0000
CartpoleSwingupSparse,3,51118080,0.0000
CartpoleSwingupSparse,3,52101120,0.0000
CartpoleSwingupSparse,3,53084160,0.0000
CartpoleSwingupSparse,3,54067200,0.0000
CartpoleSwingupSparse,3,55050240,0.0000
CartpoleSwingupSparse,3,56033280,0.0000
CartpoleSwingupSparse,3,57016320,0.0000
CartpoleSwingupSparse,3,57999360,0.0000
CartpoleSwingupSparse,3,58982400,0.0000
