task,seed,step,reward
FingerSpin,1,1966080,16.3984
FingerSpin,1,2949120,18.5874
FingerSpin,1,3932160,18.2344
FingerSpin,1,4915200,36.0513
FingerSpin,1,5898240,64.2109
FingerSpin,1,6881280,104.4175
FingerSpin,1,7864320,149.0825
FingerSpin,1,8847360,187.8911
FingerSpin,1,9830400,216.6797
FingerSpin,1,10813440,237.7261
FingerSpin,1,11796480,255.4741
FingerSpin,1,12779520,269.8164
FingerSpin,1,13762560,284.2676
FingerSpin,1,14745600,297.8530
FingerSpin,1,15728640,310.7109
FingerSpin,1,16711680,321.0908
FingerSpin,1,17694720,327.9111
FingerSpin,1,18677760,335.3989
FingerSpin,1,19660800,342.2568
FingerSpin,1,20643840,347.5439
FingerSpin,1,21626880,350.8145
FingerSpin,1,22609920,355.6494
FingerSpin,1,23592960,361.6641
FingerSpin,1,24576000,366.7100
FingerSpin,1,25559040,370.8115
FingerSpin,1,26542080,373.0669
FingerSpin,1,27525120,374.9453
FingerSpin,1,28508160,376.2075
FingerSpin,1,29491200,377.4141
FingerSpin,1,30474240,377.3633
FingerSpin,1,31457280,377.8193
FingerSpin,1,32440320,377.6440
FingerSpin,1,33423360,377.8037
FingerSpin,1,34406400,375.3306
FingerSpin,1,35389440,376.9980
FingerSpin,1,36372480,377.2983
FingerSpin,1,37355520,377.9307
FingerSpin,1,38338560,377.3809
FingerSpin,1,39321600,377.6143
FingerSpin,1,40304640,377.4434
FingerSpin,1,41287680,377.6631
FingerSpin,1,42270720,377.4263
FingerSpin,1,43253760,377.4409
FingerSpin,1,44236800,377.1602
FingerSpin,1,45219840,377.7681
FingerSpin,1,46202880,377.2412
FingerSpin,1,47185920,377.8867
FingerSpin,1,48168960,377.8677
FingerSpin,1,49152000,377.8638
FingerSpin,1,50135040,378.0977
FingerSpin,1,51118080,377.1919
FingerSpin,1,52101120,377.5806
FingerSpin,1,53084160,377.4922
FingerSpin,1,54067200,377.6748
FingerSpin,1,55050240,377.7642
FingerSpin,1,56033280,377.8145
