task,seed,step,reward
AcrobotSwingup,1,1966080,3.3552
AcrobotSwingup,1,2949120,3.6707
AcrobotSwingup,1,3932160,4.0234
AcrobotSwingup,1,4915200,4.5390
AcrobotSwingup,1,5898240,4.5320
AcrobotSwingup,1,6881280,6.2181
AcrobotSwingup,1,7864320,6.4080
AcrobotSwingup,1,8847360,6.7237
AcrobotSwingup,1,9830400,8.4403
AcrobotSwingup,1,10813440,8.7947
AcrobotSwingup,1,11796480,11.0570
AcrobotSwingup,1,12779520,12.2465
AcrobotSwingup,1,13762560,11.0481
AcrobotSwingup,1,14745600,14.1245
AcrobotSwingup,1,15728640,15.5037
AcrobotSwingup,1,16711680,15.5905
AcrobotSwingup,1,17694720,18.4919
AcrobotSwingup,1,18677760,20.1575
AcrobotSwingup,1,19660800,21.8009
AcrobotSwingup,1,20643840,25.6465
AcrobotSwingup,1,21626880,26.0525
AcrobotSwingup,1,22609920,27.6424
AcrobotSwingup,1,23592960,30.2470
AcrobotSwingup,1,24576000,33.0162
AcrobotSwingup,1,25559040,37.2764
AcrobotSwingup,1,26542080,38.7694
AcrobotSwingup,1,27525120,41.8115
AcrobotSwingup,1,28508160,40.5510
AcrobotSwingup,1,29491200,44.9268
AcrobotSwingup,1,30474240,47.5052
AcrobotSwingup,1,31457280,45.6014
AcrobotSwingup,1,32440320,47.5517
AcrobotSwingup,1,33423360,48.2155
AcrobotSwingup,1,34406400,49.3515
AcrobotSwingup,1,35389440,48.7251
AcrobotSwingup,1,36372480,51.4091
AcrobotSwingup,1,37355520,51.6938
AcrobotSwingup,1,38338560,55.9051
AcrobotSwingup,1,39321600,53.4228
AcrobotSwingup,1,40304640,58.8809
AcrobotSwingup,1,41287680,56.2375
AcrobotSwingup,1,42270720,60.4697
AcrobotSwingup,1,43253760,59.7823
AcrobotSwingup,1,44236800,66.7635
AcrobotSwingup,1,45219840,65.4431
AcrobotSwingup,1,46202880,67.2028
AcrobotSwingup,1,47185920,66.7495
AcrobotSwingup,1,48168960,73.6973
AcrobotSwingup,1,49152000,71.2750
AcrobotSwingup,1,50135040,75.7614
AcrobotSwingup,1,51118080,77.5346
AcrobotSwingup,1,52101120,77.0641
AcrobotSwingup,1,53084160,78.6155
AcrobotSwingup,1,54067200,81.8575
AcrobotSwingup,1,55050240,82.5007
AcrobotSwingup,1,56033280,85.3288
AcrobotSwingup,1,57016320,88.0651
AcrobotSwingup,1,57999360,88.6903
AcrobotSwingup,1,58982400,88.0661
AcrobotSwingup,1,59965440,91.9644
AcrobotSwingup,1,60948480,92.8555
AcrobotSwingup,1,61931520,87.5087
AcrobotSwingup,1,62914560,89.9173
AcrobotSwingup,1,63897600,90.0912
AcrobotSwingup,1,64880640,96.2238
AcrobotSwingup,1,65863680,93.6054
AcrobotSwingup,1,66846720,96.7040
AcrobotSwingup,1,67829760,92.3861
AcrobotSwingup,1,68812800,96.6257
AcrobotSwingup,1,69795840,91.2639
AcrobotSwingup,1,70778880,92.7366
AcrobotSwingup,1,71761920,93.8377
AcrobotSwingup,1,72744960,98.1047
AcrobotSwingup,1,73728000,96.1473
AcrobotSwingup,1,74711040,104.7783
AcrobotSwingup,2,1966080,3.9200
AcrobotSwingup,2,2949120,3.2541
AcrobotSwingup,2,3932160,4.6992
AcrobotSwingup,2,4915200,4.4605
AcrobotSwingup,2,5898240,5.0700
AcrobotSwingup,2,6881280,5.3385
AcrobotSwingup,2,7864320,5.8941
AcrobotSwingup,2,8847360,6.3304
AcrobotSwingup,2,9830400,6.8744
AcrobotSwingup,2,10813440,9.2347
AcrobotSwingup,2,11796480,8.6216
AcrobotSwingup,2,12779520,10.5522
AcrobotSwingup,2,13762560,11.6362
AcrobotSwingup,2,14745600,11.9890
AcrobotSwingup,2,15728640,13.8471
AcrobotSwingup,2,16711680,17.2679
AcrobotSwingup,2,17694720,17.3552
AcrobotSwingup,2,18677760,20.8987
AcrobotSwingup,2,19660800,21.2899
AcrobotSwingup,2,20643840,23.4965
AcrobotSwingup,2,21626880,25.2571
AcrobotSwingup,2,22609920,26.9062
AcrobotSwingup,2,23592960,32.4345
AcrobotSwingup,2,24576000,36.0292
AcrobotSwingup,2,25559040,39.7626
AcrobotSwingup,2,26542080,40.8463
AcrobotSwingup,2,27525120,45.1396
AcrobotSwingup,2,28508160,51.1332
AcrobotSwingup,2,29491200,51.1261
AcrobotSwingup,2,30474240,50.7353
AcrobotSwingup,2,31457280,53.4319
AcrobotSwingup,2,32440320,56.3350
AcrobotSwingup,2,33423360,58.6710
AcrobotSwingup,2,34406400,62.0841
AcrobotSwingup,2,35389440,63.6671
AcrobotSwingup,2,36372480,61.7656
AcrobotSwingup,2,37355520,65.6986
AcrobotSwingup,2,38338560,70.6744
AcrobotSwingup,2,39321600,68.3164
AcrobotSwingup,2,40304640,68.8690
AcrobotSwingup,2,41287680,72.3404
AcrobotSwingup,2,42270720,76.2463
AcrobotSwingup,2,43253760,72.9160
AcrobotSwingup,2,44236800,79.0024
AcrobotSwingup,2,45219840,79.6514
AcrobotSwingup,2,46202880,80.6029
AcrobotSwingup,2,47185920,80.6131
AcrobotSwingup,2,48168960,88.6753
AcrobotSwingup,2,49152000,86.3159
AcrobotSwingup,2,50135040,89.4950
AcrobotSwingup,2,51118080,89.4451
AcrobotSwingup,2,52101120,90.0801
AcrobotSwingup,2,53084160,87.5602
AcrobotSwingup,2,54067200,90.8603
AcrobotSwingup,2,55050240,91.4704
AcrobotSwingup,2,56033280,91.4508
AcrobotSwingup,2,57016320,92.6485
AcrobotSwingup,2,57999360,92.9322
AcrobotSwingup,2,58982400,94.3926
AcrobotSwingup,2,59965440,95.8155
AcrobotSwingup,2,60948480,93.9625
AcrobotSwingup,2,61931520,92.7889
