task,seed,step,reward
HopperStand,3,15728640,1.6437
HopperStand,3,16711680,1.9545
HopperStand,3,17694720,2.2707
HopperStand,3,18677760,2.6903
HopperStand,3,19660800,2.6063
HopperStand,3,20643840,2.9929
HopperStand,3,21626880,3.3085
HopperStand,3,22609920,3.9048
HopperStand,3,23592960,3.4901
HopperStand,3,24576000,3.5670
HopperStand,3,25559040,3.9036
HopperStand,3,26542080,3.9235
HopperStand,3,27525120,4.5769
HopperStand,3,28508160,4.4253
HopperStand,3,29491200,4.9563
HopperStand,3,30474240,5.3679
HopperStand,3,31457280,5.5832
HopperStand,3,32440320,4.9147
HopperStand,3,33423360,5.1561
HopperStand,3,34406400,4.7843
HopperStand,3,35389440,5.4426
HopperStand,3,36372480,4.9274
HopperStand,3,37355520,5.4254
HopperStand,3,38338560,5.4804
HopperStand,3,39321600,5.9230
HopperStand,3,40304640,5.6529
HopperStand,3,41287680,5.4049
HopperStand,3,42270720,5.0860
HopperStand,3,43253760,5.4653
HopperStand,3,44236800,5.3386
HopperStand,3,45219840,5.4311
HopperStand,3,46202880,5.7232
HopperStand,3,47185920,6.1340
HopperStand,3,48168960,4.8436
HopperStand,3,49152000,4.3649
HopperStand,3,50135040,5.0681
HopperStand,3,51118080,4.9841
HopperStand,3,52101120,5.2273
HopperStand,3,53084160,4.0213
HopperStand,3,54067200,4.6022
HopperStand,3,55050240,4.9343
HopperStand,3,56033280,4.7883
HopperStand,3,57016320,4.5648
HopperStand,3,57999360,4.7310
HopperStand,3,58982400,4.5822
HopperStand,3,59965440,5.5106
HopperStand,3,60948480,5.1189
HopperStand,3,61931520,5.7617
HopperStand,3,62914560,4.5744
HopperStand,3,63897600,5.7278
HopperStand,3,64880640,4.4635
HopperStand,3,65863680,5.8327
HopperStand,3,66846720,4.1875
HopperStand,3,67829760,5.3016
HopperStand,3,68812800,5.0172
HopperStand,3,69795840,5.4541
HopperStand,3,70778880,3.9868
HopperStand,3,71761920,4.8420
HopperStand,3,72744960,4.8347
HopperStand,3,73728000,4.4818
HopperStand,3,74711040,5.6553
HopperStand,4,1966080,2.2520
HopperStand,4,2949120,2.9043
HopperStand,4,3932160,2.9859
HopperStand,4,4915200,3.9073
HopperStand,4,5898240,4.7309
HopperStand,4,6881280,5.4767
HopperStand,4,7864320,4.0258
HopperStand,4,8847360,5.0065
HopperStand,4,9830400,4.4941
HopperStand,4,10813440,5.6875
HopperStand,4,11796480,4.0991
HopperStand,4,12779520,5.1404
HopperStand,4,13762560,3.5650
HopperStand,4,14745600,4.6094
HopperStand,4,15728640,3.7302
HopperStand,4,16711680,5.1388
HopperStand,4,17694720,4.3934
HopperStand,4,18677760,5.7738
HopperStand,4,19660800,4.7904
HopperStand,4,20643840,5.7033
HopperStand,4,21626880,5.9544
HopperStand,4,22609920,5.7806
HopperStand,4,23592960,5.6924
HopperStand,4,24576000,5.3284
HopperStand,4,25559040,6.3014
HopperStand,4,26542080,5.9178
HopperStand,4,27525120,5.9343
HopperStand,4,28508160,5.7603
HopperStand,4,29491200,5.7029
HopperStand,4,30474240,6.2552
HopperStand,4,31457280,6.2247
HopperStand,4,32440320,6.1570
HopperStand,4,33423360,6.7329
HopperStand,4,34406400,5.8389
HopperStand,4,35389440,6.6689
HopperStand,4,36372480,6.0087
HopperStand,4,37355520,6.7306
HopperStand,4,38338560,6.8499
HopperStand,4,39321600,6.4804
HopperStand,4,40304640,6.5261
HopperStand,4,41287680,6.6619
HopperStand,4,42270720,5.8415
HopperStand,4,43253760,6.2585
HopperStand,4,44236800,6.2212
HopperStand,4,45219840,6.8275
HopperStand,4,46202880,6.5409
HopperStand,4,47185920,6.6347
HopperStand,4,48168960,5.4719
HopperStand,4,49152000,5.8247
HopperStand,4,50135040,7.0950
HopperStand,4,51118080,6.1009
HopperStand,4,52101120,6.8866
HopperStand,4,53084160,6.8120
HopperStand,4,54067200,6.6793
HopperStand,4,55050240,6.4523
HopperStand,4,56033280,7.6089
HopperStand,4,57016320,7.9307
HopperStand,4,57999360,7.1134
HopperStand,4,58982400,7.0628
HopperStand,4,59965440,6.7930
HopperStand,4,60948480,5.6391
HopperStand,4,61931520,6.1548
HopperStand,4,62914560,6.0952
HopperStand,4,63897600,6.6941
HopperStand,4,64880640,6.0673
HopperStand,4,65863680,7.0421
HopperStand,4,66846720,6.3202
HopperStand,4,67829760,7.4011
HopperStand,4,68812800,6.6084
HopperStand,4,69795840,6.6922
HopperStand,4,70778880,6.3806
HopperStand,4,71761920,7.9795
HopperStand,4,72744960,9.1331
HopperStand,4,73728000,7.5635
HopperStand,4,74711040,8.3851
HopperStand,5,1966080,2.2527
HopperStand,5,2949120,2.6746
HopperStand,5,3932160,2.4526
HopperStand,5,4915200,3.1266
HopperStand,5,5898240,3.5351
HopperStand,5,6881280,4.0187
HopperStand,5,7864320,3.1323
HopperStand,5,8847360,4.2881
HopperStand,5,9830400,4.0681
HopperStand,5,10813440,5.1215
HopperStand,5,11796480,5.6380
HopperStand,5,12779520,5.9496
HopperStand,5,13762560,5.4721
HopperStand,5,14745600,5.7824
HopperStand,5,15728640,6.2291
HopperStand,5,16711680,6.8379
HopperStand,5,17694720,6.2898
HopperStand,5,18677760,6.3946
HopperStand,5,19660800,7.0232
HopperStand,5,20643840,7.1566
HopperStand,5,21626880,5.5965
HopperStand,5,22609920,7.2345
HopperStand,5,23592960,5.8087
HopperStand,5,24576000,5.4778
HopperStand,5,25559040,6.8991
HopperStand,5,26542080,6.6488
HopperStand,5,27525120,7.1656
HopperStand,5,28508160,6.5506
HopperStand,5,29491200,6.6611
HopperStand,5,30474240,6.2320
HopperStand,5,31457280,7.0304
HopperStand,5,32440320,6.8295
HopperStand,5,33423360,7.3967
HopperStand,5,34406400,6.6508
HopperStand,5,35389440,6.4813
HopperStand,5,36372480,7.2463
HopperStand,5,37355520,9.8824
HopperStand,5,38338560,21.3586
HopperStand,5,39321600,38.8381
HopperStand,5,40304640,57.0503
HopperStand,5,41287680,73.8019
HopperStand,5,42270720,92.5323
HopperStand,5,43253760,100.5340
HopperStand,5,44236800,108.9136
HopperStand,5,45219840,123.9023
HopperStand,5,46202880,122.7397
HopperStand,5,47185920,135.1643
HopperStand,5,48168960,142.5724
HopperStand,5,49152000,140.9996
HopperStand,5,50135040,154.6960
HopperStand,5,51118080,163.2631
HopperStand,5,52101120,166.4617
HopperStand,5,53084160,166.1915
HopperStand,5,54067200,175.8067
HopperStand,5,55050240,172.2454
HopperStand,5,56033280,175.1044
HopperStand,5,57016320,176.7516
HopperStand,5,57999360,190.9902
HopperStand,5,58982400,188.0603
HopperStand,5,59965440,181.0959
HopperStand,5,60948480,183.4908
HopperStand,5,61931520,191.8569
HopperStand,5,62914560,190.0866
HopperStand,5,63897600,201.7357
HopperStand,5,64880640,190.3933
HopperStand,5,65863680,198.8781
HopperStand,5,66846720,191.3902
HopperStand,5,67829760,203.5943
HopperStand,5,68812800,198.2335
HopperStand,5,69795840,204.8702
HopperStand,5,70778880,217.7772
HopperStand,5,71761920,215.6745
HopperStand,5,72744960,212.2822
HopperStand,5,73728000,224.4756
HopperStand,5,74711040,218.6349
