step,reward,eval_type,seed
250112,2.2,pi,42
250112,0.0,mppi,42
500224,0.1,pi,42
500224,0.0,mppi,42
750080,309.3,pi,42
750080,302.0,mppi,42
1000192,6.7,pi,42
1000192,42.3,mppi,42
1250048,329.6,pi,42
1250048,344.0,mppi,42
1500160,333.3,pi,42
1500160,338.6,mppi,42
1750016,323.9,pi,42
1750016,353.0,mppi,42
2000128,331.6,pi,42
2000128,336.1,mppi,42
2250240,319.0,pi,42
2250240,340.4,mppi,42
2500096,343.3,pi,42
2500096,336.9,mppi,42
2750208,325.2,pi,42
2750208,343.5,mppi,42
3000064,331.3,pi,42
3000064,356.6,mppi,42
3250176,335.4,pi,42
3250176,351.2,mppi,42
3500032,332.7,pi,42
3500032,350.7,mppi,42
3750144,334.2,pi,42
3750144,354.5,mppi,42
4000000,338.5,pi,42
4000000,354.0,mppi,42
