step,reward,eval_type,seed
250112,63.4,pi,42
250112,0.0,mppi,42
500224,76.0,pi,42
500224,163.5,mppi,42
750080,249.0,pi,42
750080,259.5,mppi,42
1000192,260.9,pi,42
1000192,244.2,mppi,42
1250048,270.1,pi,42
1250048,278.4,mppi,42
1500160,281.5,pi,42
1500160,282.4,mppi,42
1750016,268.2,pi,42
1750016,283.8,mppi,42
2000128,278.7,pi,42
2000128,279.6,mppi,42
2250240,259.1,pi,42
2250240,277.6,mppi,42
2500096,269.6,pi,42
2500096,279.6,mppi,42
2750208,283.9,pi,42
2750208,296.8,mppi,42
3000064,272.3,pi,42
3000064,294.8,mppi,42
3250176,274.7,pi,42
3250176,280.7,mppi,42
3500032,270.0,pi,42
3500032,278.1,mppi,42
3750144,269.9,pi,42
3750144,291.6,mppi,42
4000000,270.8,pi,42
4000000,288.2,mppi,42
