step,reward,seed
20000,891.9,42
40000,989.9,42
60000,786.0,42
80000,872.0,42
100000,997.3,42
120000,891.9,42
140000,995.7,42
160000,950.7,42
180000,888.5,42
200000,998.6,42
220000,905.1,42
