step,reward,eval_type,seed
250112,1.1,pi,42
250112,2.2,mppi,42
500224,4.1,pi,42
500224,7.1,mppi,42
750080,53.4,pi,42
750080,6.2,mppi,42
1000192,72.4,pi,42
1000192,40.3,mppi,42
1250048,89.4,pi,42
1250048,65.1,mppi,42
1500160,166.0,pi,42
1500160,201.2,mppi,42
1750016,179.9,pi,42
1750016,52.7,mppi,42
2000128,124.8,pi,42
2000128,142.1,mppi,42
2250240,131.2,pi,42
2250240,139.8,mppi,42
2500096,70.8,pi,42
2500096,75.0,mppi,42
2750208,64.8,pi,42
2750208,0.0,mppi,42
3000064,5.9,pi,42
3000064,0.1,mppi,42
3250176,0.4,pi,42
3250176,0.2,mppi,42
3500032,0.9,pi,42
3500032,0.0,mppi,42
3750144,0.0,pi,42
3750144,0.0,mppi,42
4000000,0.0,pi,42
4000000,0.0,mppi,42
