step,reward,eval_type,seed
250112,279.1,pi,5
250112,358.7,mppi,5
500224,467.1,pi,5
500224,475.3,mppi,5
750080,490.3,pi,5
750080,504.2,mppi,5
1000192,490.3,pi,5
1000192,503.3,mppi,5
1250048,468.4,pi,5
1250048,500.9,mppi,5
1500160,492.6,pi,5
1500160,514.0,mppi,5
1750016,504.4,pi,5
1750016,520.1,mppi,5
2000128,494.1,pi,5
2000128,510.0,mppi,5
2250240,516.4,pi,5
2250240,525.6,mppi,5
2500096,492.6,pi,5
2500096,523.0,mppi,5
2750208,499.8,pi,5
2750208,510.1,mppi,5
3000064,515.9,pi,5
3000064,516.9,mppi,5
