step,reward,eval_type,seed
250112,157.3,pi,4
250112,66.2,mppi,4
500224,212.7,pi,4
500224,256.0,mppi,4
750080,19.1,pi,4
750080,37.4,mppi,4
1000192,346.8,pi,4
1000192,345.4,mppi,4
1250048,353.2,pi,4
1250048,360.4,mppi,4
1500160,366.3,pi,4
1500160,368.5,mppi,4
1750016,361.7,pi,4
1750016,373.2,mppi,4
2000128,367.8,pi,4
2000128,376.4,mppi,4
2250240,365.7,pi,4
2250240,370.3,mppi,4
2500096,361.7,pi,4
2500096,378.7,mppi,4
2750208,364.8,pi,4
2750208,375.2,mppi,4
3000064,368.1,pi,4
3000064,379.3,mppi,4
3250176,366.9,pi,4
3250176,376.2,mppi,4
3500032,363.4,pi,4
3500032,387.1,mppi,4
