task,gamma,seed,step,reward
HopperStand,0.97,1,2949120,19.4682
HopperStand,0.97,1,5406720,18.2119
HopperStand,0.97,1,7864320,18.4483
HopperStand,0.97,1,10321920,43.7181
HopperStand,0.97,1,12779520,52.8241
HopperStand,0.97,1,15237120,54.4678
HopperStand,0.97,1,17694720,54.1230
HopperStand,0.97,1,20152320,57.8191
HopperStand,0.97,1,22609920,53.6406
HopperStand,0.97,1,25067520,60.7462
HopperStand,0.97,1,27525120,62.5465
HopperStand,0.97,1,30474240,58.9688
HopperStand,0.97,1,32931840,56.3290
HopperStand,0.97,1,35389440,42.4812
HopperStand,0.97,1,37847040,48.2801
HopperStand,0.97,1,40304640,54.6677
HopperStand,0.97,1,42762240,52.2230
HopperStand,0.97,1,45219840,49.5248
HopperStand,0.97,1,47677440,52.1193
HopperStand,0.97,1,50135040,52.6006
HopperStand,0.97,1,52592640,64.1235
HopperStand,0.97,1,55050240,52.5630
HopperStand,0.97,1,57507840,46.1976
HopperStand,0.97,1,60456960,46.2488
HopperStand,0.97,1,62914560,46.8147
HopperStand,0.97,1,65372160,48.8028
HopperStand,0.97,1,67829760,48.6645
HopperStand,0.97,1,70287360,44.2028
HopperStand,0.97,1,72744960,44.2080
HopperStand,0.97,1,75202560,52.8080
